Model,MSO64B
Channel,CH2,,Channel,CH3
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.00000000e-11,,Sample Interval,1.00000000e-11
Record Length,1000,,Record Length,1000
Zero Index,499.29687500,,Zero Index,499.29687500
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
interpFactor,4,,interpFactor,4
realDataStartIndex,4,,realDataStartIndex,4
yOffset,0.000000,,yOffset,0.000000
yPosition,0.000000,,yPosition,0.000000

Labels,,
TIME,CH2,CH3
-4.99296875e-09,2.93359375e-01,2.60406250e-01
-4.98296875e-09,2.93593750e-01,2.60578125e-01
-4.97296875e-09,2.93234375e-01,2.59875000e-01
-4.96296875e-09,2.94421875e-01,2.60296875e-01
-4.95296875e-09,2.95015625e-01,2.60031250e-01
-4.94296875e-09,2.95218750e-01,2.59390625e-01
-4.93296875e-09,2.94828125e-01,2.58281250e-01
-4.92296875e-09,2.96000000e-01,2.58734375e-01
-4.91296875e-09,2.96531250e-01,2.58890625e-01
-4.90296875e-09,2.96687500e-01,2.59046875e-01
-4.89296875e-09,2.96203125e-01,2.58968750e-01
-4.88296875e-09,2.97187500e-01,2.60515625e-01
-4.87296875e-09,2.97500000e-01,2.61734375e-01
-4.86296875e-09,2.97312500e-01,2.62750000e-01
-4.85296875e-09,2.96406250e-01,2.63296875e-01
-4.84296875e-09,2.96890625e-01,2.64921875e-01
-4.83296875e-09,2.96625000e-01,2.65828125e-01
-4.82296875e-09,2.95890625e-01,2.66125000e-01
-4.81296875e-09,2.94531250e-01,2.65609375e-01
-4.80296875e-09,2.94531250e-01,2.65671875e-01
-4.79296875e-09,2.94000000e-01,2.64875000e-01
-4.78296875e-09,2.93203125e-01,2.63343750e-01
-4.77296875e-09,2.92031250e-01,2.61078125e-01
-4.76296875e-09,2.92281250e-01,2.59265625e-01
-4.75296875e-09,2.92218750e-01,2.56921875e-01
-4.74296875e-09,2.92015625e-01,2.54125000e-01
-4.73296875e-09,2.91562500e-01,2.51031250e-01
-4.72296875e-09,2.92281250e-01,2.48593750e-01
-4.71296875e-09,2.92703125e-01,2.46156250e-01
-4.70296875e-09,2.92796875e-01,2.43640625e-01
-4.69296875e-09,2.92515625e-01,2.41296875e-01
-4.68296875e-09,2.93000000e-01,2.39828125e-01
-4.67296875e-09,2.93093750e-01,2.38718750e-01
-4.66296875e-09,2.92687500e-01,2.37765625e-01
-4.65296875e-09,2.91921875e-01,2.37171875e-01
-4.64296875e-09,2.91781250e-01,2.37375000e-01
-4.63296875e-09,2.91453125e-01,2.38000000e-01
-4.62296875e-09,2.90812500e-01,2.38671875e-01
-4.61296875e-09,2.90140625e-01,2.39578125e-01
-4.60296875e-09,2.90250000e-01,2.41000000e-01
-4.59296875e-09,2.90546875e-01,2.42656250e-01
-4.58296875e-09,2.90796875e-01,2.44125000e-01
-4.57296875e-09,2.91250000e-01,2.45625000e-01
-4.56296875e-09,2.92468750e-01,2.47390625e-01
-4.55296875e-09,2.93921875e-01,2.49265625e-01
-4.54296875e-09,2.95187500e-01,2.50812500e-01
-4.53296875e-09,2.96453125e-01,2.52296875e-01
-4.52296875e-09,2.98078125e-01,2.53953125e-01
-4.51296875e-09,2.99625000e-01,2.55625000e-01
-4.50296875e-09,3.00593750e-01,2.56843750e-01
-4.49296875e-09,3.01234375e-01,2.57921875e-01
-4.48296875e-09,3.01875000e-01,2.58953125e-01
-4.47296875e-09,3.02250000e-01,2.59843750e-01
-4.46296875e-09,3.01921875e-01,2.60093750e-01
-4.45296875e-09,3.01265625e-01,2.60046875e-01
-4.44296875e-09,3.00656250e-01,2.59812500e-01
-4.43296875e-09,2.99953125e-01,2.59343750e-01
-4.42296875e-09,2.98812500e-01,2.58343750e-01
-4.41296875e-09,2.97640625e-01,2.57187500e-01
-4.40296875e-09,2.96828125e-01,2.56156250e-01
-4.39296875e-09,2.96234375e-01,2.55281250e-01
-4.38296875e-09,2.95531250e-01,2.54343750e-01
-4.37296875e-09,2.95093750e-01,2.53765625e-01
-4.36296875e-09,2.95218750e-01,2.53734375e-01
-4.35296875e-09,2.95750000e-01,2.54156250e-01
-4.34296875e-09,2.96281250e-01,2.54671875e-01
-4.33296875e-09,2.97125000e-01,2.55421875e-01
-4.32296875e-09,2.98500000e-01,2.56265625e-01
-4.31296875e-09,3.00093750e-01,2.56828125e-01
-4.30296875e-09,3.01437500e-01,2.56468750e-01
-4.29296875e-09,3.02703125e-01,2.55078125e-01
-4.28296875e-09,3.03937500e-01,2.52359375e-01
-4.27296875e-09,3.04671875e-01,2.47828125e-01
-4.26296875e-09,3.04359375e-01,2.41000000e-01
-4.25296875e-09,3.03000000e-01,2.31875000e-01
