Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,1.07634369988843,-10.330080667593,-141.952427213229,-152.282507880822,95.178886406197,17.2340476866761
1,2000.57029724121,1.07587108980623,-10.3338953789327,-143.484420210178,-153.818315589111,95.1281746750796,17.2262574840552
1,2999.78256225586,1.07509019529063,-10.3402021069305,-141.094234348401,-151.434436455332,93.363988874892,16.9342509936582
1,5000.11444091797,1.07260998518938,-10.3602634180866,-140.303418330892,-150.663681748978,91.0488093018915,16.5530021129532
1,7001.63841247559,1.06891382102004,-10.3902462796777,-140.446709826702,-150.83695610638,87.8929881555214,16.0337598729567
1,10001.4209747314,1.06118852307529,-10.4532492426615,-139.23090541341,-149.684154656072,90.5799014276996,16.490556589761
1,20005.9413909912,1.01875590176426,-10.8076973766663,-131.952394206624,-142.76009158329,83.2430665116041,15.3306916757924
1,49984.4551086426,0.815894661780501,-12.7364182971732,-127.835379461148,-140.571797758321,67.6949668309386,13.0683364000186
1,100023.508071899,0.527907102456211,-16.5179500294139,-123.830567673879,-140.348517703293,57.9860462056826,12.0837203048333
