Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,1.73534780871502,-6.18136949546927,-144.402600505179,-150.583970000648,99.0247773834233,17.1837453287197
1,2000.57029724121,1.73458736441751,-6.18517656103119,-144.511406232586,-150.696582793617,98.8449700727153,17.1545094075991
1,2999.78256225586,1.73333752793024,-6.19143733229992,-139.653016407585,-145.844453739885,95.3360503312314,16.5726723693574
1,5000.11444091797,1.72933643169777,-6.21151031415078,-138.571365360214,-144.782875674365,93.0502588687706,16.1963071732428
1,7001.63841247559,1.72337919888101,-6.24148319560229,-137.01292631482,-143.254409510423,90.6903337006448,15.8092719096756
1,10001.4209747314,1.71092200983802,-6.30449586525451,-134.472953276324,-140.777449141578,91.6175065190976,15.9737545488957
1,20005.9413909912,1.64252312153189,-6.65887029472228,-129.404424106799,-136.063294401522,82.3764880479584,14.4975678310101
1,49984.4551086426,1.31549748311267,-8.58729969998629,-124.138163461402,-132.725463161388,66.6825415735811,12.2109370886325
1,100023.746490479,0.851271803671277,-12.3677351566481,-117.426029472199,-129.793764628847,62.5818445493448,12.1577374926899
