Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,1.07634477441683,-10.3300719963569,-141.183126988461,-151.513198984818,95.1655414678082,17.2318294790972
1,2000.57029724121,1.07586916533298,-10.333910915903,-141.361135456183,-151.695046372086,95.0397973063473,17.211579438912
1,2999.78256225586,1.07508921728804,-10.3402100084317,-142.234891035885,-152.575101044317,92.8813138612506,16.8540737325054
1,5000.11444091797,1.07261039013719,-10.3602601388599,-141.44329204799,-151.80355218685,90.9056028907142,16.5292131278362
1,7001.63841247559,1.06891459488945,-10.3902399912925,-141.485601850959,-151.875841842252,88.8764939159939,16.1971318782868
1,10001.4209747314,1.06118866767017,-10.4532480591441,-136.953306505693,-147.406554564837,86.6494038596043,15.8376498203901
1,20005.9413909912,1.01875504450713,-10.8077046856242,-132.694442916415,-143.50214760204,85.0757348230073,15.6351228419654
1,49984.4551086426,0.815894641600115,-12.7364185120105,-128.360720186444,-141.097138698455,66.1454204808174,12.8109367097721
1,100023.508071899,0.527907990332901,-16.5179354207973,-123.856264146651,-140.374199567448,65.8146756402037,13.3841546612958
