Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
0,1000.16593933105,1.07663903872862,-10.3276976660559,-137.155651937162,-147.483349603218,95.2255648722756,17.2414057372644
0,2000.57029724121,1.07615217948259,-10.3316263384851,-145.195102653885,-155.52672899237,95.0890095271201,17.2193747285059
0,2999.78256225586,1.07535250349477,-10.3380831198727,-141.163656729743,-151.501739849615,92.9006928206659,16.8569395250064
0,5000.11444091797,1.07281253656893,-10.358623331888,-141.652917624682,-152.01154095657,90.9244316223926,16.5320689292825
0,7001.63841247559,1.06902648240184,-10.3893308524994,-141.782503369744,-152.171834222244,88.8877281270983,16.1988470065777
0,10001.4209747314,1.06111573763115,-10.4538450161771,-137.568649973492,-148.022494989669,86.6561995159422,15.8388778292557
0,20005.9413909912,1.01773885986674,-10.8163729839696,-132.075483748368,-142.891856732337,85.0838769643286,15.6379152738037
0,49984.4551086426,0.811908920265703,-12.7789538714786,-127.400269699251,-140.17922357073,66.1451509065043,12.8179576043161
0,100023.508071899,0.523219341733432,-16.5954243284644,-123.209156159205,-139.80458048767,65.8145244264734,13.3970014543086
