Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
0,1000.16593933105,1.73582016401166,-6.17900554994196,-138.459406174008,-144.63841172395,99.0519480839457,17.1878660521408
0,2000.57029724121,1.73504407078371,-6.18288991981821,-143.225580082218,-149.408470002037,99.1055590822852,17.197416777758
0,2999.78256225586,1.73375562149513,-6.18934248545036,-140.942445499609,-147.131787985059,92.9396791998036,16.174256093896
0,5000.11444091797,1.7296662245755,-6.20985403063053,-138.388198425596,-144.598052456226,94.9377064874969,16.5095615478617
0,7001.63841247559,1.72356160519132,-6.24056391025789,-136.668752407887,-142.909316318144,93.497403261256,16.2754098291551
0,10001.4209747314,1.71081015103878,-6.30506376077638,-134.812123561955,-141.117187322732,89.5990833179984,15.6385626376702
0,20005.9413909912,1.6408890773183,-6.66751564779718,-129.993954895699,-136.661470543496,84.4767719075762,14.8478882982348
0,49984.4551086426,1.30908783531773,-8.62972438601685,-124.095081036077,-132.724805422094,64.8586936313918,11.9150196042207
0,100023.746490479,0.843736222869845,-12.4449662415763,-117.585301755625,-130.030267997201,69.4866011635299,13.317536113805
