Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,3.08677627126435,-1.17899706863086,-146.759298429004,-147.938295497635,102.7278439445,16.9679137895566
1,2000.57029724121,3.08541907704199,-1.18281692161916,-143.442842092882,-144.625659014502,102.957721459542,17.0067339503591
1,2999.78256225586,3.08318090442653,-1.18911997944115,-139.704047867601,-140.893167847042,94.4308999621106,15.591365438796
1,5000.11444091797,3.07606399909224,-1.20919279121529,-136.046849440211,-137.256042231427,91.0643322317079,15.0354692729108
1,7001.63841247559,3.06546835186001,-1.23916339417064,-136.021592933518,-137.260756327689,93.3952471315292,15.4276429444684
1,10001.4209747314,3.04331621576497,-1.30215852868198,-134.084691638535,-135.386850167217,92.4404330707812,15.2795002656915
1,20005.9413909912,2.92165215491781,-1.65652995829468,-128.576054336029,-130.232584294324,85.0423192067698,14.1094433829011
1,49984.4551086426,2.3399732764977,-3.58488217791067,-120.146679435958,-123.731561613868,70.2402247901373,11.9709480013369
1,100023.746490479,1.51425461051635,-7.36512203703053,-114.118754928944,-121.483876965974,62.2665820975366,11.2743694575693
