Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
0,1000.16593933105,1.07663621586358,-10.3277204398227,-137.291540489631,-147.619260929454,95.3279576151561,17.2584182815579
0,2000.57029724121,1.07615296168495,-10.3316200251392,-141.055022004849,-151.386642029988,95.2845681086307,17.2518584939817
0,2999.78256225586,1.07535344321125,-10.3380755295523,-140.921531954434,-151.259607483986,92.48315732146,16.7875802078093
0,5000.11444091797,1.07281196089976,-10.3586279927212,-141.185869821186,-151.544497813908,88.6610810473175,16.1560978471825
0,7001.63841247559,1.06902651902633,-10.3893305549238,-140.996315668015,-151.385646222939,90.6262303733912,16.4876347057002
0,10001.4209747314,1.06111636093136,-10.4538399140803,-137.338883884406,-147.792723798486,88.7877268614195,16.1929512916113
0,20005.9413909912,1.0177395835631,-10.8163668075871,-134.033109836447,-144.849476644034,85.6152380495644,15.7261802088292
0,49984.4551086426,0.811909477070396,-12.7789479147237,-128.187614458989,-140.966562373713,70.5325765204084,13.5467648563342
0,100023.508071899,0.523219632080057,-16.5954195084628,-123.347255234437,-139.942674742899,66.7396902334874,13.5506826813871
