Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,2.44797196496739,-3.1929713338918,-142.410488167123,-145.603459501015,101.762241173287,17.142061878269
1,2000.57029724121,2.44689665148944,-3.19678759744367,-143.725363090798,-146.922150688242,101.211442867174,17.0512010738567
1,2999.78256225586,2.44512682562381,-3.20307232313642,-138.498001110988,-141.701073434124,93.8434838316968,15.8283315871816
1,5000.11444091797,2.43948758047576,-3.22312790119746,-136.213708697206,-139.436836598404,92.600278265027,15.6251505259509
1,7001.63841247559,2.4310841235369,-3.25310038755558,-136.330303514935,-139.583403902491,93.1286481845653,15.7178984339071
1,10001.4209747314,2.4488848156215,-3.18973296263254,-134.021600573932,-137.211333536565,89.79099184833,15.1529443207579
1,20005.9413909912,2.31701740418598,-3.67051421031432,-128.668445488019,-132.338959698334,86.1418609494947,14.6266403919949
1,49984.4551086426,1.85571320159996,-5.59888298323161,-120.583609970527,-126.182492953759,70.4113144870527,12.3339198455622
1,100023.746490479,1.20086492885775,-9.37921690043445,-115.226148503026,-124.605365403461,62.3369131393894,11.6206196079442
