Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,1.07634227621976,-10.3300921563369,-141.168815171031,-151.498907327368,95.2498238450457,17.245833222821
1,2000.57029724121,1.07586952377128,-10.3339080220986,-141.308031586433,-151.641939608532,95.1210890189644,17.2250825649606
1,2999.78256225586,1.07509012670833,-10.340202661022,-140.182350667026,-150.522553328048,91.318989690648,16.5945502245299
1,5000.11444091797,1.07261003141173,-10.3602630437826,-143.166094191334,-153.526357235116,91.2041841697542,16.5788118294912
1,7001.63841247559,1.068913777831,-10.3902466306276,-142.259524961599,-152.649771592227,91.1585444480016,16.5762111426294
1,10001.4209747314,1.06118902345288,-10.4532451470429,-138.087260716274,-148.540505863317,89.8962602355461,16.3769942495995
1,20005.9413909912,1.01875519531266,-10.8077033998587,-133.170362780326,-143.978066180185,84.8013860667799,15.5895497452888
1,49984.4551086426,0.815894840212519,-12.7364163976135,-128.250379394319,-140.986795791933,68.0104837094247,13.1207475260861
1,100023.508071899,0.52790755361754,-16.5179426062597,-124.318739201431,-140.83668180769,61.9424900094861,12.7409356504561
