Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,2.44797086950959,-3.19297522079404,-146.244689572651,-149.437664793445,101.530750841728,17.1036089804854
1,2000.57029724121,2.44689531168971,-3.19679235340903,-142.091612631686,-145.288404985095,101.317348553012,17.0687941705019
1,2999.78256225586,2.44512685740205,-3.20307221024972,-139.390937549393,-142.594009759643,92.0680083380924,15.5334020844422
1,5000.11444091797,2.43948722139449,-3.22312917972027,-136.979041416281,-140.202170596001,89.374852872952,15.0893657894804
1,7001.63841247559,2.43108338069134,-3.25310304162891,-136.236023139353,-139.489126180982,91.0825598452412,15.3780170908422
1,10001.4209747314,2.44888407418712,-3.18973559240841,-133.459727344637,-136.649462937045,88.5314248476764,14.9437143588181
1,20005.9413909912,2.31701827376033,-3.67051095050912,-128.580522556817,-132.251033507326,79.9391184436151,13.5962839525123
1,49984.4551086426,1.85571373722821,-5.59888047615929,-120.404192513638,-126.003072989797,67.4841758556584,11.8476837760495
1,100023.746490479,1.2008654291103,-9.37921328209452,-115.256299506963,-124.635512789057,60.9095843008388,11.3835211931783
