Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
0,1000.16593933105,1.73582081666218,-6.17900228413743,-138.016189126178,-144.195191410316,99.1512226610812,17.2043563031925
0,2000.57029724121,1.73504294697308,-6.18289554578387,-142.130764981574,-148.313660527358,99.0586442021162,17.1896245428405
0,2999.78256225586,1.73375575145767,-6.18934183435497,-139.395983025241,-145.585324859595,93.4963852088401,16.2667320669759
0,5000.11444091797,1.72966631227434,-6.20985359023201,-138.835203756021,-145.045057346253,93.7320875831473,16.3092925537175
0,7001.63841247559,1.72356245534358,-6.24055962591614,-136.826075785254,-143.06663541117,91.3413096573207,15.9172540337603
0,10001.4209747314,1.71081083636065,-6.30506028135529,-134.454997999125,-140.76005828048,89.8431717321013,15.6791083078832
0,20005.9413909912,1.64088859694496,-6.66751819060795,-129.566883346366,-136.234401536974,84.2103448405788,14.8036317327553
0,49984.4551086426,1.3090875883487,-8.6297260246738,-124.328482408361,-132.958208433035,67.4530937196452,12.3459833462324
0,100023.746490479,0.843735682248327,-12.4449718070365,-117.437727033165,-129.882698840202,61.7587297709065,12.0338374714191
