Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,2.44796990538279,-3.19297864170918,-141.326351628681,-144.51933027039,101.585124226789,17.1126416725081
1,2000.57029724121,2.44689142750614,-3.19680614133713,-142.490533375861,-145.687339517198,101.247827159225,17.0572480565718
1,2999.78256225586,2.44512458212948,-3.20308029276521,-137.916920619996,-141.120000912761,93.2084186294954,15.722840352535
1,5000.11444091797,2.43948322446312,-3.22314341096236,-136.754919827435,-139.978063238397,91.9218479317819,15.5124570336784
1,7001.63841247559,2.43108504256162,-3.25309710402224,-136.673970208755,-139.927067312777,94.4419344527458,15.9360517536159
1,10001.4209747314,2.4488857413951,-3.18972967902943,-133.674011269641,-136.863740948671,87.8678131141313,14.8334788692958
1,20005.9413909912,2.31701711552177,-3.67051529244068,-128.607586575312,-132.278101867753,84.1149770432278,14.2899488929682
1,49984.4551086426,1.8557149949827,-5.5988745890913,-120.514260327863,-126.113134916954,69.123994741606,12.1200779619099
1,100023.746490479,1.20086879036285,-9.37918897010489,-115.263746317017,-124.642935287122,64.2840222367762,11.9440550177543
