Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
0,1000.16593933105,3.08761912249948,-1.17662569058064,-137.855236518981,-139.031862209562,103.384010044306,17.0765175639346
0,2000.57029724121,3.08623102885454,-1.18053146351481,-138.349174069632,-139.529705533147,102.227676332765,16.8850843515415
0,2999.78256225586,3.08393847879044,-1.18698601480003,-134.813813970686,-136.000799985486,94.822683406376,15.6560912659761
0,5000.11444091797,3.07664405148032,-1.20755505023987,-133.798606217805,-135.006161268044,88.6893874090054,14.6406881161537
0,7001.63841247559,3.06578992985312,-1.23825226277398,-133.503170775136,-134.74142303791,91.9768018219745,15.1918694492938
0,10001.4209747314,3.04310752296555,-1.30275417653777,-132.802949554011,-134.105703730549,87.5478013361084,14.4668696864861
0,20005.9413909912,2.91875187963312,-1.66515657829033,-128.411884073879,-130.07704065217,83.5811395805406,13.8681555081114
0,49984.4551086426,2.32856871908211,-3.62731894905783,-120.446346777269,-124.073665726327,67.4728282345424,11.5182968743522
0,100023.746490479,1.50084887174466,-7.44236086844988,-114.059921915062,-121.502282783511,68.5872179943452,12.3371393459793
