Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,2.44797219331989,-3.19297052365192,-143.949884100023,-147.142854623675,101.786571059614,17.1461032530342
1,2000.57029724121,2.44689178191208,-3.19680488327942,-142.816818997168,-146.013623880448,101.513449916553,17.101371229208
1,2999.78256225586,2.44512622162978,-3.2030744687209,-139.216127749437,-142.419202218158,96.0793130915055,16.1997321528615
1,5000.11444091797,2.4394862818127,-3.22313252513861,-136.308443996308,-139.531576521446,93.3682371924207,15.7527192221859
1,7001.63841247559,2.43108559781591,-3.25309512018506,-136.729311760761,-139.982406880947,90.8922484299025,15.346402583071
1,10001.4209747314,2.4488897201739,-3.18971556681305,-133.721718259399,-136.911433826212,90.8795549694465,15.3337658698106
1,20005.9413909912,2.3170172235736,-3.67051488738271,-128.467861160247,-132.13837604763,87.2649592156277,14.8132016782409
1,49984.4551086426,1.85571374506356,-5.59888043948501,-120.514632630174,-126.113513069659,68.9783774309215,12.0958900116954
1,100023.746490479,1.20086918520755,-9.3791861141918,-115.140179867192,-124.519365981383,65.2218036741081,12.0998321907475
