Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
0,1000.16593933105,1.07663792627995,-10.3277066408478,-141.420811189293,-151.74851783014,95.241973647258,17.2441329382236
0,2000.57029724121,1.07615419905039,-10.3316100380706,-141.996197651779,-152.327807689849,95.1718831150556,17.2331383975293
0,2999.78256225586,1.07535353690949,-10.338074772729,-142.416013955525,-152.754088728254,93.3924078540199,16.9386183765364
0,5000.11444091797,1.07281211218791,-10.3586267678354,-142.255905858649,-152.614532626484,91.0662678224081,16.5556303306052
0,7001.63841247559,1.06902593148475,-10.3893353287274,-139.268001762778,-149.657337091506,87.8996756015928,16.0347194236412
0,10001.4209747314,1.06111561742252,-10.4538460001592,-138.711987341347,-149.165833341506,90.5932190570093,16.4928679496958
0,20005.9413909912,1.01773989571231,-10.8163641435528,-132.558265130764,-143.374629274316,83.2482161896392,15.332986766311
0,49984.4551086426,0.811908763601058,-12.7789555474941,-127.651380795213,-140.430336342707,67.6949671854034,13.0754024473252
0,100023.508071899,0.523218468663265,-16.5954388221898,-123.407631536738,-140.003070358928,57.9856841802058,12.0965320601986
