Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,3.0867717381487,-1.17900982438888,-144.391552534154,-145.570562358543,103.238556122656,17.052751818446
1,2000.57029724121,3.08541403598452,-1.18283111291817,-144.045706161912,-145.228537274831,101.953087378769,16.8398535700478
1,2999.78256225586,3.08317705780759,-1.18913081608339,-140.152563724119,-141.341694540202,96.1671556857663,15.8797818109385
1,5000.11444091797,3.07606163890258,-1.20919945569132,-136.292388401735,-137.501587857426,92.4899405354828,15.2722823905605
1,7001.63841247559,3.06546878937843,-1.23916215447869,-135.829816731563,-137.068978886041,93.8291556355315,15.4997205631246
1,10001.4209747314,3.04331619422448,-1.30215859016041,-134.21519552771,-135.517354117871,91.4824724766197,15.1203706090997
1,20005.9413909912,2.92165848451039,-1.65651114083109,-128.755534690156,-130.412045830987,86.4388044199074,14.3414145449732
1,49984.4551086426,2.33996981130197,-3.58489504059175,-120.152305724666,-123.737200765258,66.6372317528981,11.3724463112109
1,100023.746490479,1.51425536562925,-7.36511770564158,-113.961552488993,-121.326670194635,59.069884003336,10.7433557656109
