Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,1.73534807674906,-6.18136815388582,-142.737994116349,-148.919362270235,98.9230649197603,17.1668493477817
1,2000.57029724121,1.7345858498713,-6.18518414507524,-142.061300147005,-148.24648429208,98.7731438397574,17.1425793994739
1,2999.78256225586,1.73333488330287,-6.19145058474417,-140.343155628125,-146.534606212869,92.5264920465178,16.1059705367545
1,5000.11444091797,1.72933809290289,-6.21150197046637,-137.545373943504,-143.756875913971,89.9703051653771,15.6846855707381
1,7001.63841247559,1.72337895160884,-6.2414844418625,-137.815961848429,-144.057446290292,89.5847567990713,15.6256214685936
1,10001.4209747314,1.71092315998378,-6.30449002627662,-134.384213724653,-140.688703750929,89.1134121173505,15.5577910537587
1,20005.9413909912,1.6425207187493,-6.65888300097856,-129.413342132587,-136.072225133566,83.9267540870631,14.7550892172827
1,49984.4551086426,1.31549726101122,-8.58730116646487,-124.053861944487,-132.641163110952,66.0245028924283,12.1016285812115
1,100023.746490479,0.851271787018955,-12.3677353265589,-117.524568679531,-129.89230400609,59.6264014538094,11.6668001296293
