Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,3.08677233598742,-1.17900814212629,-145.08116038152,-146.260168523646,103.002381947466,17.0135199484372
1,2000.57029724121,3.08541607409093,-1.18282537535383,-144.574284576612,-145.757109951966,102.296945545402,16.8969719137468
1,2999.78256225586,3.08318130543949,-1.18911884971371,-139.097075249843,-140.286194099557,92.0197729110437,15.1908458074348
1,5000.11444091797,3.07606270067828,-1.20919645755083,-136.232442012615,-137.441638470166,91.1792817259912,15.0545644823159
1,7001.63841247559,3.0654669495186,-1.23916736765337,-135.739618107501,-136.978785475154,92.6656585519743,15.3064494883102
1,10001.4209747314,3.04331468982085,-1.30216288386052,-134.203358015697,-135.505520899558,88.7045896457798,14.6589289916346
1,20005.9413909912,2.9216556316616,-1.65651962215837,-128.679119080111,-130.335638702269,83.2221422062555,13.8070866824608
1,49984.4551086426,2.33997196149405,-3.58488705915438,-120.219978851394,-123.804865910548,67.8429697527852,11.572733689691
1,100023.746490479,1.51425401012059,-7.36512548095097,-114.128145693057,-121.493271174008,62.431269546592,11.3017267487613
