Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
0,1000.16593933105,2.4486394815612,-3.19060317559922,-139.551224654196,-142.741827829795,101.350361363447,17.0732499234296
0,2000.57029724121,2.4475395929086,-3.19450561113765,-139.643139746268,-142.837645357405,101.104408264739,17.0330421720725
0,2999.78256225586,2.44572869810109,-3.20093453848304,-136.22584073305,-139.426775271533,92.5166501594594,15.6075722089605
0,5000.11444091797,2.43994887035901,-3.22148561604041,-135.193431367885,-138.414916983926,90.4768882605227,15.2721551289972
0,7001.63841247559,2.43134323846789,-3.25217465909582,-135.23368970362,-138.485864362716,93.0730063966947,15.70850183651
0,10001.4209747314,2.44816450175788,-3.19228820206911,-134.293765014971,-137.48605321704,86.5689640747532,14.6181482187412
0,20005.9413909912,2.31471107460732,-3.67916433993078,-128.593123522609,-132.272287862539,85.6157472953724,14.5406829958975
0,49984.4551086426,1.8466690760356,-5.64131859732454,-120.573192341811,-126.214510939135,66.0069303091301,11.6093436721685
0,100023.746490479,1.19023533027156,-9.45644338064885,-115.20967960392,-124.666122984568,62.0213114525236,11.5810223975369
