Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,1.73534873104287,-6.18136487896777,-147.114612726173,-153.295977605141,99.1132721624873,17.1984446912716
1,2000.57029724121,1.73458447609186,-6.18519102423966,-142.212575586956,-148.397766611196,98.5629348949103,17.1076621128156
1,2999.78256225586,1.73333722888578,-6.19143883083518,-139.61643817289,-145.807877003725,93.2814386853467,16.231375002688
1,5000.11444091797,1.72933613421997,-6.21151180828433,-138.565413870982,-144.776925679266,89.4728583908214,15.6020548503498
1,7001.63841247559,1.72337930234941,-6.24148267411806,-136.936696060945,-143.178178735063,93.7698318964418,16.3208163738472
1,10001.4209747314,1.7109233114024,-6.30448925756567,-134.947782209922,-141.252271467488,89.6558529523909,15.6478973770692
1,20005.9413909912,1.64252174882203,-6.65887755380511,-129.643804775556,-136.302682329361,87.4167958314662,15.3348294659919
1,49984.4551086426,1.31549724784617,-8.58730125339028,-123.684340796976,-132.271642050366,66.779481198485,12.2270402743979
1,100023.746490479,0.851272003447132,-12.36773311825,-117.40618464256,-129.77391776081,64.6949603268722,12.5087530639738
