Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,1.07634366555861,-10.3300809446282,-144.998303606445,-155.328384551073,95.2408993637197,17.2443488884299
1,2000.57029724121,1.07587171459713,-10.3338903347752,-141.459319081793,-151.793209416568,95.1613148762793,17.2317616629659
1,2999.78256225586,1.07508995255542,-10.3402040680418,-140.469249832797,-150.809453900838,90.6672590926922,16.4862895615837
1,5000.11444091797,1.07260939050103,-10.3602682338154,-140.614272714815,-150.974540948631,89.5771304129105,16.3085379811837
1,7001.63841247559,1.06891393123902,-10.3902453840491,-139.342036480696,-149.732281864745,88.1134357613563,16.0703789278082
1,10001.4209747314,1.06118923453768,-10.4532434193025,-137.585896143098,-148.039139562401,91.6446985358763,16.6674322184682
1,20005.9413909912,1.01875637171347,-10.807693369891,-133.022006589465,-143.829699959356,87.3414625456298,16.0114876936081
1,49984.4551086426,0.815895718531049,-12.736407047176,-128.320682298144,-141.05708934532,68.5159750062773,13.2047146268195
1,100023.508071899,0.527906678391982,-16.5179570067335,-124.167256000347,-140.68521300708,59.5779561025653,12.3481583238038
