Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
0,1000.16593933105,1.73582061296227,-6.17900330343333,-143.709573797717,-149.88857710115,98.9161392766162,17.1653060764202
0,2000.57029724121,1.73504232731373,-6.18289864789364,-141.36277360104,-147.545672248933,99.0542690900692,17.1888982953427
0,2999.78256225586,1.73375836629162,-6.18932873438863,-139.72102175447,-145.910350488858,92.4388679564427,16.0910625732278
0,5000.11444091797,1.72966621093766,-6.20985409911585,-138.33756591981,-144.547420018926,90.7315103700887,15.8108578852499
0,7001.63841247559,1.72355948273197,-6.2405746063995,-136.898410921586,-143.138985527985,90.7261120008385,15.8150642204714
0,10001.4209747314,1.71080929657668,-6.30506809893476,-134.690587878455,-140.99565597739,91.591833667088,15.9695850109672
0,20005.9413909912,1.64088575779146,-6.6675332194133,-129.541891093365,-136.209424312778,85.7134186199295,15.053314259027
0,49984.4551086426,1.30908843490676,-8.62972040770249,-124.115447533369,-132.745167941071,68.7229239696587,12.556917670658
0,100023.746490479,0.843736203590216,-12.4449664400515,-117.674347735647,-130.119314175698,66.5814202133875,12.8349479490763
