Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
0,1000.16593933105,3.08761409101996,-1.17663984482364,-136.189079431622,-137.365719276446,102.6404330248,16.9530021378112
0,2000.57029724121,3.08622321024663,-1.18055346823538,-137.769650533324,-138.95020400156,102.860646616999,16.990232572298
0,2999.78256225586,3.08393097399327,-1.1870071520308,-135.268499513274,-136.455506665305,94.2315498386721,15.5578998323427
0,5000.11444091797,3.07664284157062,-1.20755846602149,-133.961259533656,-135.168817999677,95.1347649389094,15.7113494028124
0,7001.63841247559,3.06578768271947,-1.2382586292774,-134.147782071655,-135.386040700932,89.8734588542211,14.8424779872921
0,10001.4209747314,3.04310816590637,-1.30275234140301,-132.695439824303,-133.998192165706,92.2002498014139,15.2397013526274
0,20005.9413909912,2.91875197355711,-1.66515629878271,-128.463260527632,-130.128416826415,87.7173744985147,14.5552376739697
0,49984.4551086426,2.32856967238995,-3.62731539308592,-120.380669364516,-124.007984757602,63.5514204429122,10.8668996405313
0,100023.746490479,1.50085087901733,-7.44234925173245,-114.050620407769,-121.492969659501,69.0834690912889,12.4195711533258
