Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
0,1000.16593933105,2.44864009504953,-3.19060099941474,-137.221282483085,-140.4118834825,101.643882002961,17.1220071432518
0,2000.57029724121,2.44753496157788,-3.19452204693532,-139.598303845471,-142.792825892406,98.6191349912839,16.6202088103354
0,2999.78256225586,2.44572544631995,-3.20094608703745,-135.637543910327,-138.838489997364,93.1637661396754,15.7150684761982
0,5000.11444091797,2.43994842580348,-3.2214871985984,-135.706085711992,-138.92757291059,91.002083009088,15.3593970444662
0,7001.63841247559,2.43133864658723,-3.25219106344618,-135.675073020257,-138.927264083704,92.2566625026737,15.5728992634751
0,10001.4209747314,2.44816055183266,-3.19230221609561,-134.829047534119,-138.021349750215,89.5541928553234,15.1140357261493
0,20005.9413909912,2.31471104104008,-3.67916446589095,-128.511884709765,-132.191049175656,81.7692072362418,13.9017228741084
0,49984.4551086426,1.84666758232984,-5.64132562303846,-120.559073087948,-126.200398710986,67.3891446941221,11.8389485576679
0,100023.746490479,1.1902353255635,-9.45644341500648,-115.230037522169,-124.686480937176,61.1944072018667,11.4436628931683
