Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
0,1000.16593933105,1.07663738280577,-10.327711025384,-137.685977745206,-148.01368877059,95.2892485088841,17.2519866335994
0,2000.57029724121,1.07615380088931,-10.3316132517214,-142.89625469606,-153.227867947782,95.2187819356298,17.2409294331148
0,2999.78256225586,1.07535372063803,-10.3380732887095,-141.755291418232,-152.093364706941,92.284714504974,16.754615912572
0,5000.11444091797,1.07281215016555,-10.3586264603541,-142.570648188788,-152.929274649142,90.0559581373035,16.3878047504415
0,7001.63841247559,1.0690261641554,-10.3893334382669,-142.341322439961,-152.730655878228,87.5716104983345,15.9802232452826
0,10001.4209747314,1.06111655003687,-10.4538383661355,-136.6795372872,-147.133375653336,88.1666080503492,16.08977515224
0,20005.9413909912,1.01774021985567,-10.8163613771554,-132.908800352784,-143.725161729939,86.8052544906668,15.9238564564489
0,49984.4551086426,0.811908859633891,-12.7789545201243,-127.409137820973,-140.188092341097,65.9256369713602,12.7814936032366
0,100023.508071899,0.523218450595934,-16.5954391221234,-122.947987452026,-139.543426574149,60.4795649374107,12.5107980165339
