Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,2.44797234587443,-3.19296998235823,-144.349955149533,-147.542925131892,101.61217307164,17.1171333976742
1,2000.57029724121,2.44689229499129,-3.19680306196923,-143.775385889508,-146.972188951477,98.5992244574921,16.6172803188474
1,2999.78256225586,2.44512587049903,-3.20307571605248,-137.70112444502,-140.904200161072,93.1647701810775,15.7155890194568
1,5000.11444091797,2.43948712658756,-3.22312951728405,-136.926816693657,-140.149946210941,91.0016149496341,15.3595921041392
1,7001.63841247559,2.43108134986997,-3.25311029744657,-136.794794590899,-140.047904888346,92.2488060772898,15.5717469061024
1,10001.4209747314,2.44888168360313,-3.18974407151897,-133.809728889705,-136.999472961224,89.5712027998374,15.1164363573682
1,20005.9413909912,2.317017253928,-3.67051477359206,-128.406613801743,-132.077128575335,81.7682457214534,13.9001263280806
1,49984.4551086426,1.85571202228806,-5.59888850314505,-120.46582787506,-126.064716378205,67.3891444808962,11.8318991667843
1,100023.746490479,1.20086688654243,-9.37920274045794,-115.190394152179,-124.569596892637,61.1942469191507,11.4308055912971
