Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,2.44797206010162,-3.1929709963367,-143.421992374972,-146.614963371309,101.220431907898,17.0520602830954
1,2000.57029724121,2.44689321195987,-3.19679980694799,-142.733346439147,-145.930146246095,101.593981542474,17.1147477324621
1,2999.78256225586,2.44512802056922,-3.2030680783008,-138.675138467891,-141.878206546192,95.0894944721677,16.0353093937655
1,5000.11444091797,2.43948604233371,-3.22313337781328,-136.248995661316,-139.472129039129,92.8529941692138,15.6671308217653
1,7001.63841247559,2.4310872265611,-3.2530893009345,-136.4566164114,-139.709705712335,90.0505464748116,15.2065840159047
1,10001.4209747314,2.44889122059556,-3.18971024501648,-133.866786734081,-137.056496979097,87.0457162652867,14.6969147027082
1,20005.9413909912,2.31701704449501,-3.67051555870139,-128.34098661473,-132.011502173431,85.5523072120224,14.5287081014491
1,49984.4551086426,1.85571543537228,-5.59887252779696,-120.615737473611,-126.214610001408,69.8513954058424,12.2409082946245
1,100023.746490479,1.20086745506093,-9.37919862835537,-115.262064748419,-124.641263376775,65.4688442129877,12.1408709038776
