Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,1.73534713646737,-6.18137286025298,-145.135128910992,-151.316501771245,99.1116496768939,17.1981765011872
1,2000.57029724121,1.73458727407248,-6.18517701343101,-145.39287191618,-151.578048929611,99.0256500301401,17.1845227647128
1,2999.78256225586,1.7333307746944,-6.19147117335774,-140.541648712379,-146.733119885737,93.4793162509738,16.2642504027129
1,5000.11444091797,1.72933846587011,-6.2115000971764,-137.431844998918,-143.643345096094,93.7178576137951,16.30720227757
1,7001.63841247559,1.72337977908422,-6.24148027135893,-138.347385709013,-144.588865980372,91.3373623780743,15.91675127067
1,10001.4209747314,1.71092533437116,-6.30447898751276,-134.819551963388,-141.124030950901,89.8373217183035,15.6780399843549
1,20005.9413909912,1.64252202524859,-6.65887609202206,-129.544510989196,-136.203387081218,84.2069781312959,14.8016369141724
1,49984.4551086426,1.31549852741375,-8.58729280473908,-124.107345299799,-132.694638104538,67.4533877829043,12.3389834863195
1,100023.746490479,0.851271355874438,-12.3677397257116,-117.559052171425,-129.926791897136,61.7585810164627,12.0209835119891
