Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,3.08676943942086,-1.17901629279842,-143.874165796174,-145.053182088972,102.61102219391,16.9485113765296
1,2000.57029724121,3.08541149399506,-1.18283826899145,-143.329624349853,-144.512462618844,102.835462002007,16.9864286164449
1,2999.78256225586,3.08317519681006,-1.18913605886504,-138.959976565623,-140.149112624488,94.2285336072166,15.5577524362262
1,5000.11444091797,3.07606290413055,-1.2091958830619,-136.20029810966,-137.409493992722,95.1320475218901,15.7111700008226
1,7001.63841247559,3.06546615989825,-1.23916960501434,-136.327495886306,-137.56666549132,89.867730287193,14.841677722958
1,10001.4209747314,3.04331631834143,-1.30215823591982,-134.158752378578,-135.460910614497,92.1978007690853,15.2391958480075
1,20005.9413909912,2.92165815478912,-1.65651212106978,-128.621003409608,-130.277515530678,87.7169738824604,14.5537352165333
1,49984.4551086426,2.3399736939398,-3.58488062838201,-120.212357823698,-123.79723845208,63.5513577542174,10.8598402628903
1,100023.746490479,1.51425649481175,-7.36511122856308,-114.05369846143,-121.418809689993,69.0834385902595,12.4067358503027
