Ch,Freq (Hz),RMS Fund (V),Fund (dBFS),THD (dB),THD (dBFS),SINAD (dB),ENOB
1,1000.16593933105,3.08677288901909,-1.17900658594684,-145.207809094493,-146.38681568044,103.153701458723,17.0386558213737
1,2000.57029724121,3.08541334965448,-1.18283304503734,-142.838884443296,-144.021717488334,102.774773114671,16.9763465381576
1,2999.78256225586,3.08318010569322,-1.1891222296206,-138.616065536824,-139.805187766445,96.4916655948522,15.9336856851284
1,5000.11444091797,3.07606029854724,-1.20920324045978,-135.850183743007,-137.059386983467,90.7101436234539,14.97663569168
1,7001.63841247559,3.06546734753903,-1.23916623987696,-136.045169866687,-137.284336106564,94.7911303611614,15.6595177078137
1,10001.4209747314,3.04331711264319,-1.30215596891376,-134.231233277851,-135.533389246765,89.2683951734907,14.7525832462466
1,20005.9413909912,2.9216551755008,-1.65652097829448,-128.714851516835,-130.37137249513,87.0936903221726,14.4502012127022
1,49984.4551086426,2.33997276518911,-3.58488407586845,-120.133053942994,-123.717938018862,72.9600422362394,12.4227452345694
1,100023.746490479,1.51425678984504,-7.36510953622998,-114.018724045843,-121.383833582073,64.5243021082105,11.6494039276479
